Name,Type,Method,Base,Target,Data,Output,Description,Git/Other Link,Publication,Presentation,AI,Country,Regional Scale,Field Validation,Email
EPIDEMIA,,,,Malaria,,,An EcoHealth Informatics System for integrated forecasting of malaria epidemics,https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-13-S1-P92,https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-13-S1-P92,, ,,,,
Epigraph,,,,Influenza,,,"A computational algorithm, to design a universal swine H3 influenza vaccine",https://www.nature.com/articles/s41467-021-21508-6,https://www.nature.com/articles/s41467-021-21508-6,, ,,,,
EPIPOI,,,,General Infectious Diseases,,,Analytical tool for temporal parameters from epidemiological time series,https://worldwidescience.org/topicpages/e/epidemiology+time-series+analysis.html,https://bmcpublichealth.biomedcentral.com/articles/10.1186/1471-2458-12-982,, ,,,,
EWARS,,,,Dengue,,,Early Warning and Response System for dengue outbreaks,https://apps.who.int/iris/handle/10665/332323,https://bmcinfectdis.biomedcentral.com/articles/10.1186/s12879-022-07197-6,, ,,,,
HYDREMATS,,,,Malaria,,,"Hydrology, Entomology, and Malaria Transmission Simulator",https://eltahir.mit.edu/models/hydremats/,https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-9-323,, ,,,,
LIS-MAL,,,,Malaria,,,Estimates of hydro-climatic suitability for malaria transmission in Africa ,https://archive.researchdata.leeds.ac.uk/715/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7455692/,, ,,,,
LiverpoolMalariaModel,,,,Malaria,,,Mathematical-biological model of malaria parasite dynamics using daily temperature and precipitation data,http://www.impetus.uni-koeln.de/malaris/lmm_en.html,"https://malariajournal.biomedcentral.com/articles/10.1186/1475-2875-10-35#:~:text=The%20Liverpool%20Malaria%20Model%20(LMM,daily%20temperature%20and%20precipitation%20data.",, ,,,,
Liverpool RVF model,,,,Malaria,,,"A dynamic, climate-driven model of Rift Valley fever",https://livrepository.liverpool.ac.uk/3000613/1/LRVF_model_GEOSPAT_Leedale_et_al_EDITED.docx,https://pubmed.ncbi.nlm.nih.gov/27063737/,, ,,,,
MARA LITe,,,,Malaria,,,Climate data and malaria distribution maps and estimated populations at risk,http://unfccc.int/resource/docs/2005/sbi/eng/22.pdf,https://www.researchgate.net/publication/371331571_The_current_landscape_of_software_tools_for_the_climate-sensitive_infectious_disease_modelling_community,, ,,,,
MGDrivE 2,,,,General Infectious Diseases,,,A simulation framework for gene drive systems incorporating seasonality and epidemiological dynamics,https://marshalllab.github.io/MGDrivE/,https://pubmed.ncbi.nlm.nih.gov/34019537/,, ,,,,
MVSE,,,,General Infectious Diseases,,,An R-package that estimates a climate-driven mosquito-borne viral suitability index,https://researchonline.lshtm.ac.uk/4653026/1/Obolski_et_al-2019-Methods_in_Ecology_and_Evolution.pdf,https://besjournals.onlinelibrary.wiley.com/doi/full/10.1111/2041-210X.13205,, ,,,,
OMaWa,,,,Malaria,,,A dynamic model of some malaria-transmitting anopheline mosquitoes of the Afrotropical region,http://open.b.uib.no/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3653715/,, ,,,,
OpenMalaria,,,,Malaria,,,"A simulator program for studying malaria epidemiology and the impacts of interventions against malaria.
 a simulator program for studying malaria epidemiology and the impacts of interventions against malaria.
 a simulator program for studying malaria epidemiology and the impacts of interventions against malaria.
 a simulator program for studying malaria epidemiology and the impacts of interventions against malaria.
A simulator program for studying malaria epidemiology and the impacts of interventions against malaria.",https://github.com/SwissTPH/openmala,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9262398/,, ,,,,
SCOPIC,,,,Malaria,,,Seasonal Climate Outlooks in Pacific Island Countries,https://pubmed.ncbi.nlm.nih.gov/29162098/,https://pubmed.ncbi.nlm.nih.gov/29162098/,, ,,,,
SLIM,,,,Malaria,,,"Assess the impact of ivermectin treatment of cattle and buffalo with standard and long-lasting formulations on the survival of wild Anopheles on Sumba Island, Indonesia",https://mesamalaria.org/mesa-track/sumba-livestock-ivermectin-malaria-control-slim-project,,, ,,,,
STEM,,,,Influenza,,,An Open Source Tool for Disease Modeling,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6708268/,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC6708268/,, ,,,,
VECTRI,,,,Malaria,,,Community vector malaria model to simulate the spread of malaria,http://users.ictp.it/~tompkins/vectri/,,, ,,,,
Arboverse,,,,Arbovirus,,,Data-driven platform and disease modelling to anticipate and mitigate arbovirus emergence,https://orcid.org/0000-0002-0025-8293,,, ,,,,
CLIMSEDIS,,,,General Infectious Diseases,,,A climate-sensitive disease forecasting tool,https://news.liverpool.ac.uk/2023/02/03/new-digital-tools-use-climate-data-to-tackle-infectious-disease-outbreaks/,,, ,,,,
Chol-Out-EWS,,,,Cholera,,,An open-source software application for community-level cholera outbreak risk prediction and feedback through early warning systems ,,,, ,,,,
IDExtremes,,,,General Infectious Diseases,,,A modelling tool to predict the probability of infectious disease outbreaks given compound extreme climatic events,https://www.bsc.es/research-and-development/projects/id-extremes-digital-technology-development-award-climate-sensitive,,, ,,,,
